Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
End_to_end_edit_profile_user,Chrome 96.0.4664.55,,,2021-12-06 14:28:30,2021-12-06 14:28:58,28.527s,PASSED
,,,,,,,
Test Cases/Login/tc_LoginByPhone,Chrome 96.0.4664.55,,,2021-12-06 14:28:31,2021-12-06 14:28:43,12.545s,PASSED
"openBrowser("""")",Chrome 96.0.4664.55,,,2021-12-06 14:28:31,2021-12-06 14:28:37,5.255s,PASSED
"navigateToUrl(""https://www.qasir.id/sign-in"")",Chrome 96.0.4664.55,,,2021-12-06 14:28:37,2021-12-06 14:28:39,2.647s,PASSED
"setText(findTestObject(""Login/txtPhone""), ""82162391216"")",Chrome 96.0.4664.55,,,2021-12-06 14:28:39,2021-12-06 14:28:42,2.802s,PASSED
"setEncryptedText(findTestObject(""Login/txtPassword""), ""g5moeaIHhvc="")",Chrome 96.0.4664.55,,,2021-12-06 14:28:42,2021-12-06 14:28:43,0.599s,PASSED
"click(findTestObject(""Login/btnLogin""))",Chrome 96.0.4664.55,,,2021-12-06 14:28:43,2021-12-06 14:28:43,0.520s,PASSED
,,,,,,,
Test Cases/Outlet/tc_ChooseOutlet,Chrome 96.0.4664.55,,,2021-12-06 14:28:43,2021-12-06 14:28:45,2.199s,PASSED
"waitForElementPresent(findTestObject(""Outlet/btnSunPlaza""), 10)",Chrome 96.0.4664.55,,,2021-12-06 14:28:44,2021-12-06 14:28:45,1.477s,PASSED
"click(findTestObject(""Outlet/btnSunPlaza""))",Chrome 96.0.4664.55,,,2021-12-06 14:28:45,2021-12-06 14:28:45,0.327s,PASSED
,,,,,,,
Test Cases/Profile/tc_EditProfile,Chrome 96.0.4664.55,,,2021-12-06 14:28:45,2021-12-06 14:28:58,12.779s,PASSED
maximizeWindow(),Chrome 96.0.4664.55,,,2021-12-06 14:28:46,2021-12-06 14:28:46,0.167s,PASSED
"waitForElementPresent(findTestObject(""Profile/btnProfile""), 60)",Chrome 96.0.4664.55,,,2021-12-06 14:28:46,2021-12-06 14:28:51,5.132s,PASSED
"click(findTestObject(""Profile/btnProfile""))",Chrome 96.0.4664.55,,,2021-12-06 14:28:51,2021-12-06 14:28:51,0.421s,PASSED
"click(findTestObject(""Profile/btnUserProfile""))",Chrome 96.0.4664.55,,,2021-12-06 14:28:51,2021-12-06 14:28:53,1.495s,PASSED
"userDir = System.getProperty(""user.dir"")",Chrome 96.0.4664.55,,,2021-12-06 14:28:53,2021-12-06 14:28:53,0.002s,PASSED
"photoPath = userDir + ""/Data Files/potoku.jpg""",Chrome 96.0.4664.55,,,2021-12-06 14:28:53,2021-12-06 14:28:53,0.001s,PASSED
"waitForElementVisible(findTestObject(""Profile/btnEditPhoto""), 20)",Chrome 96.0.4664.55,,,2021-12-06 14:28:53,2021-12-06 14:28:54,0.899s,PASSED
"click(findTestObject(""Profile/btnApplyPhoto""))",Chrome 96.0.4664.55,,,2021-12-06 14:28:54,2021-12-06 14:28:55,1.512s,PASSED
"setText(findTestObject(""Profile/txtName""), ""monika ulina"")",Chrome 96.0.4664.55,,,2021-12-06 14:28:55,2021-12-06 14:28:57,1.298s,PASSED
"scrollToElement(findTestObject(""Profile/btnSave""), 10)",Chrome 96.0.4664.55,,,2021-12-06 14:28:57,2021-12-06 14:28:57,0.362s,PASSED
"click(findTestObject(""Profile/btnSave""))",Chrome 96.0.4664.55,,,2021-12-06 14:28:57,2021-12-06 14:28:58,1.197s,PASSED
